branch,bus,ptdf,sensitivity,wind_MW,wind_farms
1021-2121-1,77210,-0.005972796904020607,-0.005972796904020607,67.9,3
1021-2121-1,77212,-0.00597279690402056,-0.00597279690402056,51.6,1
1021-2121-1,77511,-0.004784598787477277,-0.004784598787477277,17.5,1
1021-2121-1,79010,-0.006585175116001441,-0.006585175116001441,16.9,1
1021-2121-1,80710,-0.00544819983026819,-0.00544819983026819,67.5,5
1021-2121-1,81810,-0.00567612282334754,-0.00567612282334754,73.7,3
1021-2121-1,83011,-0.004512672181425795,-0.004512672181425795,15.0,2
1021-2121-1,83510,-0.005108995970976582,-0.005108995970976582,37.7,2
1021-2121-1,84412,-0.005275454955966014,-0.005275454955966014,15.0,1
1021-2121-1,85510,-0.0057443354001109215,-0.0057443354001109215,70.6,3
1021-2121-1,87510,-0.005744335400113436,-0.005744335400113436,95.7,7
1021-2121-1,87900,-0.004767522335759078,-0.004767522335759078,76.3,4
1021-2121-1,89210,-0.005676122823347024,-0.005676122823347024,27.6,1
1021-2121-1,89510,-0.005981718369281226,-0.005981718369281226,28.1,4
1021-2121-1,90210,-0.005266654282327433,-0.005266654282327433,90.0,7
1021-2341-1,1021,0.0013315579224986163,-0.0013315579224986163,8.16,2
1021-2341-1,1061,0.0013315579228211916,-0.0013315579228211916,15.6,4
1021-2341-1,1121,0.0013315579227321378,-0.0013315579227321378,118.39000000000001,4
1021-2341-1,1131,0.0013315579226858554,-0.0013315579226858554,34.35,1
1021-2341-1,1141,0.001331557922714166,-0.001331557922714166,0.9,1
1021-2341-1,1231,0.0013315579227448915,-0.0013315579227448915,42.0,2
1021-2341-1,1251,0.0013315579225835483,-0.0013315579225835483,154.219,11
1021-2341-1,1281,0.0013315579226349517,-0.0013315579226349517,65.71000000000001,6
1021-2341-1,1311,0.0013315579227008711,-0.0013315579227008711,147.6,4
1021-2341-1,1341,0.0013315579228896923,-0.0013315579228896923,89.3,17
1021-2341-1,1381,0.0013315579227112795,-0.0013315579227112795,2.0,1
1021-2341-1,1401,0.0013315579227725222,-0.0013315579227725222,46.88999999999999,6
1021-2341-1,1431,0.001331557922762426,-0.001331557922762426,45.0,1
1021-2341-1,1441,0.0013315579226799157,-0.0013315579226799157,13.6,3
1021-2341-1,1461,0.001331557922696458,-0.001331557922696458,32.4,1
1021-2341-1,1481,0.0013315579227635571,-0.0013315579227635571,1.7,1
1021-2341-1,1511,0.0013315579227000107,-0.0013315579227000107,100.549,5
